id,valid,canonical,iupac,cid,label
pos_1,c1cc(F)ccc1Cn(c(c23)cccc2)c(n3)[C@@H]4CCCN(C)C4,CN1CCCC(C1)C2=NC3=CC=CC=C3N2CC4=CC=C(C=C4)F,1-[(4-fluorophenyl)methyl]-2-[(3R)-1-methylpiperidin-3-yl]benzimidazole,46888857,0.0
pos_2,ClCCCl,C(CCl)Cl,"1,2-dichloroethane",11,0.0
pos_3,c1cccc(c1C23C)C(N3)Cc4c2cccc4,CC12C3=CC=CC=C3CC(N1)C4=CC=CC=C24,"1-methyl-16-azatetracyclo[7.6.1.02,7.010,15]hexadeca-2,4,6,10,12,14-hexaene",1207,0.0
pos_4,c1ccccc1,C1=CC=CC=C1,benzene,241,0.0
pos_5,CCCCCCCC,CCCCCCCC,octane,356,0.0
pos_6,CC(C)(C)NC(C)C(=O)c1cc(Cl)ccc1,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,2-(tert-butylamino)-1-(3-chlorophenyl)propan-1-one,444,0.0
pos_7,CN1CCCC1c2cccnc2,CN1CCCC1C2=CN=CC=C2,3-(1-methylpyrrolidin-2-yl)pyridine,942,0.0
pos_8,Cc1ccccc1,CC1=CC=CC=C1,toluene,1140,0.0
pos_9,CNC(C)Cc1ccccc1,CC(CC1=CC=CC=C1)NC,N-methyl-1-phenylpropan-2-amine,1206,0.0
pos_10,c1cccc(c12)cc(C(=O)N(C)C(C)CC)nc2-c3c(Cl)cccc3,CCC(C)N(C)C(=O)C1=CC2=CC=CC=C2C(=N1)C3=CC=CC=C3Cl,N-butan-2-yl-1-(2-chlorophenyl)-N-methylisoquinoline-3-carboxamide,1345,0.0
pos_11,O=C(O)COc1c(Cl)cc(Cl)cc1,C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,"2-(2,4-dichlorophenoxy)acetic acid",1486,0.0
pos_12,CN(C)CCC=C1c(cccc2)c2CCc(c13)cccc3,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,"N,N-dimethyl-3-(2-tricyclo[9.4.0.03,8]pentadeca-1(15),3,5,7,11,13-hexaenylidene)propan-1-amine",2160,0.0
pos_13,CCOC(=O)c1ccc(N)cc1,CCOC(=O)C1=CC=C(C=C1)N,ethyl 4-aminobenzoate,2337,0.0
pos_14,CC(C)NCC(O)COc(cc1)ccc1CCOCC2CC2,CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O,1-[4-[2-(cyclopropylmethoxy)ethyl]phenoxy]-3-(propan-2-ylamino)propan-2-ol,2369,0.0
pos_15,C12C=CC(C2)CC1C(O)(c3ccccc3)CCN4CCCCC4,C1CCN(CC1)CCC(C2CC3CC2C=C3)(C4=CC=CC=C4)O,1-(2-bicyclo[2.2.1]hept-5-enyl)-1-phenyl-3-piperidin-1-ylpropan-1-ol,2381,0.0
pos_16,c1cc(F)ccc1C(=O)CCCN(CC2)CCC2(O)c3ccc(Br)cc3,C1CN(CCC1(C2=CC=C(C=C2)Br)O)CCCC(=O)C3=CC=C(C=C3)F,4-[4-(4-bromophenyl)-4-hydroxypiperidin-1-yl]-1-(4-fluorophenyl)butan-1-one,2448,0.0
pos_17,c1cccc(c1C#N)OCC(O)CNC(C)(C)C,CC(C)(C)NCC(COC1=CC=CC=C1C#N)O,2-[3-(tert-butylamino)-2-hydroxypropoxy]benzonitrile,2473,0.0
pos_18,C1CCCC12CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)c4ncccn4,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4,"8-[4-(4-pyrimidin-2-ylpiperazin-1-yl)butyl]-8-azaspiro[4.5]decane-7,9-dione",2477,0.0
pos_19,CCCCOC(=O)c1ccc(N)cc1,CCCCOC(=O)C1=CC=C(C=C1)N,butyl 4-aminobenzoate,2482,0.0
pos_20,CN(C)CCCN1c(cccc2)c2Sc(c13)ccc(Cl)c3,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,"3-(2-chlorophenothiazin-10-yl)-N,N-dimethylpropan-1-amine",2726,0.0
pos_21,c1c(Cl)ccc(c12)N(C)C(=O)CC(=O)N2c3ccccc3,CN1C(=O)CC(=O)N(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,"7-chloro-1-methyl-5-phenyl-1,5-benzodiazepine-2,4-dione",2789,0.0
pos_22,N1CCNC1=Nc2c(Cl)cccc2Cl,C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl,"N-(2,6-dichlorophenyl)-4,5-dihydro-1H-imidazol-2-amine",2803,0.0
pos_23,CNCCCN(c(c12)cccc1)c3c(CC2)cccc3,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31,"3-(5,6-dihydrobenzo[b][1]benzazepin-11-yl)-N-methylpropan-1-amine",2995,0.0
pos_24,c1c(Cl)ccc(c12)NC(=O)CN=C2c3ccccc3,C1C(=O)NC2=C(C=C(C=C2)Cl)C(=N1)C3=CC=CC=C3,"7-chloro-5-phenyl-1,3-dihydro-1,4-benzodiazepin-2-one",2997,0.0
pos_25,CC(N)Cc1ccccc1,CC(CC1=CC=CC=C1)N,1-phenylpropan-2-amine,3007,0.0
pos_26,c1c(Cl)ccc(c12)N(C)C(=O)CN=C2c3ccccc3,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,"7-chloro-1-methyl-5-phenyl-3H-1,4-benzodiazepin-2-one",3016,0.0
pos_27,c1ccccc1C(OCCN(C)C)c2ccccc2,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,"2-benzhydryloxy-N,N-dimethylethanamine",3100,0.0
pos_28,COc(c1)c(OC)cc(c12)CC(C2=O)CC3CCN(CC3)Cc4ccccc4,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC,"2-[(1-benzylpiperidin-4-yl)methyl]-5,6-dimethoxy-2,3-dihydroinden-1-one",3152,0.0
pos_29,FC(Cl)C(F)(F)OC(F)F,C(C(OC(F)F)(F)F)(F)Cl,"2-chloro-1-(difluoromethoxy)-1,1,2-trifluoroethane",3226,0.0
pos_30,c1ccccc1N(C(=O)CC)C2CCN(CC2)CCc3ccccc3,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,N-phenyl-N-[1-(2-phenylethyl)piperidin-4-yl]propanamide,3345,0.0
pos_31,FC(F)(F)c(c1)ccc(c12)Sc3c(cccc3)N2CCCN4CCN(CC4)CCO,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO,2-[4-[3-[2-(trifluoromethyl)phenothiazin-10-yl]propyl]piperazin-1-yl]ethanol,3372,0.0
